"Designator,""Footprint"",""Mid X"",""Mid Y"",""Ref X"",""Ref Y"",""Pad X"",""Pad Y"",""Layer"",""Rotation"",""Comment"""
"U7,""OPTO_FOD817BS_ReflowSoldering"",""3671.4mil"",""1557.576mil"",""3671.4mil"",""1557.576mil"",""3494.235mil"",""1607.576mil"",""T"",""270.00"",""OPTO_FOD817BS"""
"U6,""OPTO_FOD817BS_ReflowSoldering"",""3671.4mil"",""1307.576mil"",""3671.4mil"",""1307.576mil"",""3494.235mil"",""1357.576mil"",""T"",""270.00"",""OPTO_FOD817BS"""
"U5,""SC70_6"",""1662.5mil"",""2218.75mil"",""1662.5mil"",""2218.75mil"",""1688.091mil"",""2256.152mil"",""T"",""270.00"",""74LVC1G57DCKR"""
"U4,""DCDC_SIP_1W_19.5x9.8_h12.5_R12P12S"",""6697.48mil"",""1975mil"",""6997.48mil"",""1975mil"",""6997.48mil"",""1975mil"",""T"",""180.00"",""DCDC_+12V_1W_R12P12S"""
"U3,""OPTO_FOD817BS_ReflowSoldering"",""3556.25mil"",""1006.25mil"",""3556.25mil"",""1006.25mil"",""3733.415mil"",""956.25mil"",""T"",""90.00"",""OPTO_FOD817BS"""
"U2,""SOT23_6L"",""2870.012mil"",""2110mil"",""2870mil"",""2110mil"",""2915.276mil"",""2072.598mil"",""T"",""360.00"",""LMR12010YMK"""
"U1,""HTSSOP_016_E0,65_L4,4MM_PWP"",""1331.25mil"",""2275mil"",""1331.25mil"",""2275mil"",""1448.179mil"",""2185.433mil"",""T"",""90.00"",""DRV8801PWP"""
"T66,""SOT23_3L_ReflowSoldering"",""9235mil"",""2970mil"",""9235mil"",""2970mil"",""9196.614mil"",""2926.693mil"",""T"",""270.00"",""BC847C"""
"T65,""SOT23_3L_ReflowSoldering"",""2083.307mil"",""151.614mil"",""2083.307mil"",""151.614mil"",""2040mil"",""190mil"",""T"",""180.00"",""BC847C"""
"T64,""SOT23_3L_ReflowSoldering"",""3268.75mil"",""1081.25mil"",""3268.75mil"",""1081.25mil"",""3307.136mil"",""1124.557mil"",""T"",""90.00"",""BC847C"""
